JacksMask,Aces,Tens,AttachedTens,TenKingSmall,WinProb
8,1,2,1,0,0.0000
9,0,0,0,0,0.0000
10,0,2,0,0,0.0000
12,1,1,0,0,0.0000
14,2,1,0,1,0.6700
4,2,1,1,0,0.0000
0,2,1,1,0,0.0000
7,2,0,0,0,0.0100
8,1,1,0,0,0.0000
1,0,2,0,0,0.0000
8,2,3,1,0,0.1500
15,1,0,0,0,0.0000
4,1,0,0,0,0.0000
10,3,1,1,0,0.9400
5,1,2,0,1,0.0000
3,3,0,0,0,0.2100
0,2,1,1,1,0.0000
4,2,1,1,0,0.0000
2,2,3,2,0,0.0000
6,1,1,1,0,0.0200
3,2,1,1,0,0.1500
6,0,1,0,0,0.0000
6,0,2,0,0,0.0000
4,1,2,0,2,0.0000
2,3,2,1,0,0.1900
11,0,2,0,1,0.4400
9,1,1,0,0,0.0200
1,1,0,0,0,0.0000
8,4,0,0,0,0.6400
2,3,0,0,0,0.0000
10,1,1,0,0,0.0000
0,2,2,1,1,0.0000
1,1,1,0,1,0.0000
8,0,0,0,0,0.0000
4,3,2,1,1,0.0500
6,1,0,0,0,0.0000
3,0,2,0,0,0.0000
4,1,1,1,0,0.0000
2,0,2,0,0,0.0000
4,1,1,0,0,0.0000
8,3,1,1,0,0.3300
0,0,2,0,0,0.0000
2,0,2,0,1,0.0000
0,1,1,0,0,0.0000
8,2,2,1,1,0.0400
0,0,1,0,1,0.0000
0,1,2,0,1,0.0000
1,1,0,0,0,0.0000
1,1,1,0,0,0.0000
0,2,3,1,0,0.0000
6,1,1,0,0,0.0000
8,0,1,0,0,0.0000
12,2,1,0,0,0.1100
8,2,2,1,0,0.0500
14,2,2,1,0,0.8000
0,1,3,1,1,0.0000
0,0,4,0,1,0.0000
2,0,1,0,0,0.0000
2,1,1,1,0,0.0000
3,0,2,0,0,0.0000
0,1,0,0,0,0.0000
1,0,2,0,1,0.0000
4,1,1,1,1,0.0100
12,0,1,0,1,0.0000
12,0,2,0,1,0.0000
6,2,1,1,0,0.1700
12,1,0,0,0,0.0000
4,0,0,0,0,0.0000
0,1,1,0,0,0.0000
5,0,2,0,0,0.0000
0,0,2,0,1,0.0000
5,1,1,0,0,0.0000
13,0,0,0,0,0.0000
0,2,0,0,0,0.0000
12,2,2,1,0,0.2300
4,2,1,1,1,0.0300
3,2,0,0,0,0.0000
12,1,1,0,0,0.0100
6,0,1,0,1,0.0500
12,2,1,1,0,0.2300
