Hand                               , Skat      ,       JacksMask,  CntJ,  Aces,  Tens, Att10, MxLen,   TKS,   BestGame,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds,     ProbNull, WonMask ,   DurationMs
[SA ST SK S9 S8 S7 C7 HQ H7 DA]    , -         ,               -,     0,     2,     1,     1,     6,     1,     Spades,   0.1500,     0.0000,     0.0000,     0.1500,      0.0000,        0.0000,       0.0000, ------  ,     16191.78
[CJ SJ HJ SQ CT CQ HQ H9 D9 D7]    , -         ,             CSH,     3,     0,     1,     0,     2,     0,     Spades,   0.0500,     0.0000,     0.0000,     0.0500,      0.0500,        0.0500,       0.0000, ------  ,      7292.36
[CA CT C9 C8 C7 SK S9 S7 HQ H8]    , -         ,               -,     0,     1,     1,     1,     5,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     15603.62
[SJ CA CT CK CQ S8 HQ H7 DQ D8]    , -         ,               S,     1,     1,     1,     1,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     18990.19
[SK ST S9 S7 HA HQ H9 H7 SJ HJ]    , -         ,              SH,     2,     1,     1,     0,     4,     1,       Null,   1.0000,     0.1000,     0.0000,     0.8500,      0.9000,        0.0000,       1.0000, --SH-N  ,     74697.58
[HJ CT CK C7 SK HQ H9 H7 DK D8]    , -         ,               H,     1,     0,     1,     0,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     12605.78
[SJ CQ SQ S8 S7 H8 DT DK DQ D7]    , -         ,               S,     1,     0,     1,     0,     4,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     22655.36
[CJ DK D8 CA CT CQ SK S9 HA HQ]    , -         ,               C,     1,     2,     1,     1,     3,     0,   Diamonds,   0.1000,     0.0500,     0.0000,     0.0500,      0.0000,        0.1000,       0.0000, ------  ,     20288.12
[CK C9 C8 ST SK S7 HA HT HK DK]    , -         ,               -,     0,     1,     2,     1,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      2444.53
[DJ CT C8 ST SK HA H9 H8 DT DK]    , -         ,               D,     1,     1,     3,     0,     3,     0,      Grand,   0.0500,     0.0500,     0.0000,     0.0500,      0.0000,        0.0000,       0.0000, ------  ,     21328.28
[SJ CT C8 SK SQ S9 DT DK DQ D8]    , -         ,               S,     1,     0,     2,     0,     4,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     59389.30
[CA CQ C9 C7 S9 S7 H9 SJ D9 D7]    , -         ,               S,     1,     1,     0,     0,     4,     0,       Null,   0.4000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.4000, ------  ,     20307.70
[SJ SA ST S9 S8 S7 C7 HA H8 D9]    , -         ,               S,     1,     2,     1,     1,     5,     0,     Spades,   0.3000,     0.1000,     0.0000,     0.3000,      0.0000,        0.0000,       0.0000, ------  ,     28535.90
[CJ DJ DK DQ D9 D8 CA HK HQ H8]    , -         ,              CD,     2,     1,     0,     0,     4,     0,   Diamonds,   0.4500,     0.0000,     0.0000,     0.0000,      0.3000,        0.4500,       0.0000, ------  ,     42891.71
[HJ DJ CA C7 ST SK HT HK DT DQ]    , -         ,              HD,     2,     1,     3,     0,     2,     0,      Grand,   0.1000,     0.1000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     26420.62
[SJ DJ HQ H8 H7 C8 SA SK DA D9]    , -         ,              SD,     2,     2,     0,     0,     3,     0,     Hearts,   0.1500,     0.0500,     0.0000,     0.0000,      0.1500,        0.0000,       0.0000, ------  ,     48845.52
[CJ CQ C9 C7 S8 HT HQ H9 DA DK]    , -         ,               C,     1,     1,     1,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     15494.05
[HJ DA DT DK DQ D9 CT CK SQ HT]    , -         ,               H,     1,     1,     3,     1,     5,     1,   Diamonds,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     19412.76
